"bill_id","sponsor_icpsr","cosponsors_icpsr","bill_date","year","chamber"
"hconres1-109","14813","NA","2005-01-04","2005","2"
"hconres10-109","15627","29940 29702 14824 15100 29380 20520 15033 15431 20332 15614 20135 14448 15449 29768 14863 29705 29715 29309","2005-01-04","2005","2"
"hconres100-109","15105","15245 29588 29389 29149 14265 29734 29703","2005-03-16","2005","2"
"hconres101-109","20122","29588","2005-03-16","2005","2"
"hconres102-109","14863","15005 15408 2605 29923 15454 29718 20106 14280 29926","2005-03-16","2005","2"
"hconres103-109","15094","NA","2005-03-17","2005","2"
"hconres104-109","29538","20335","2005-03-17","2005","2"
"hconres105-109","29922","15000 29942 15005 20338 39302 29328 20306 20147 39301 10713 29925 20139 20108 15603 29325 29739 29943 39304 20305 29348 29380 20103 14873 29937 20129 20107 29585 39305 29930 29564 29733 14644 15431 29776 29373 20328 29903 14265 15049 20334 15634 29742 29709 29911 20104 39307 15444 20105 29747 20310 20504 20106 29926 29715 20138 14066","2005-03-17","2005","2"
"hconres106-109","20146","15401 20335 29561 20315 14824 29143 20116 20333 20119 20317 15616 20337 20135 15621 15064 29747 15446 20330 29516 20138","2005-03-17","2005","2"
"hconres107-109","29337","15000 29339 29777 29720 20147 20517 39301 29587 20302 14824 20529 20314 39305 29930 29733 29778 15431 29379 15613 29776 29905 14256 20537 29552 15050 15619 13035 15634 29906 29106 29309","2005-03-17","2005","2"
"hconres108-109","29733","15245 15000 29938 29922 15005 29339 29588 21180 29774 29919 20306 29720 20322 20147 20517 10713 15453 20302 29714 20108 29731 29109 2605 29571 29312 14824 15100 20529 20305 29337 20519 29380 29763 29750 39305 29930 14430 29748 20145 29908 29778 15033 15431 15612 29379 14435 29744 20122 15613 29729 29746 29358 20358 29776 20341 14256 20537 29149 29903 15616 14265 29123 15050 15454 29101 15619 29127 14448 13035 29317 14656 29147 29911 20104 20525 20321 29707 29368 20106 29383 29926 29309 29355","2005-03-17","2005","2"
"hconres109-109","13035","NA","2005-03-17","2005","2"
"hconres11-109","15627","29356 15420 29513 20506","2005-01-04","2005","2"
"hconres110-109","13035","29559","2005-03-17","2005","2"
"hconres111-109","13035","29559","2005-03-17","2005","2"
"hconres112-109","13035","29942 29339 29943 20305 39305 29748 29744 15613 29729 15614 15050 29101 15619 20102 20321","2005-03-17","2005","2"
"hconres113-109","13035","NA","2005-03-17","2005","2"
"hconres114-109","13035","NA","2005-03-17","2005","2"
"hconres115-109","13035","NA","2005-03-17","2005","2"
"hconres116-109","13035","NA","2005-03-17","2005","2"
"hconres117-109","13035","NA","2005-03-17","2005","2"
"hconres118-109","13035","NA","2005-03-17","2005","2"
"hconres119-109","13035","NA","2005-03-17","2005","2"
"hconres12-109","15627","29356 15420 29513 20506","2005-01-04","2005","2"
"hconres120-109","29911","29132 29938 29588 29389 29720 29925 15410 20323 20305 29348 29337 29380 29585 29930 15029 29769 14837 14435 15613 29729 15614 15050 15619 13035 29134 20105 29106 29715 29309","2005-03-17","2005","2"
"hconres121-109","29717","NA","2005-04-05","2005","2"
"hconres122-109","29717","20520","2005-04-05","2005","2"
"hconres123-109","15603","29132 29940 29731 29312 29313 29559 20305 29923 29733 14837 15612 15614 29358 29377 15616 15050 15454 29101 15619 29317 29911 20310 29715 29309","2005-04-05","2005","2"
"hconres124-109","29923","20110 20342","2005-04-06","2005","2"
"hconres125-109","29923","15245 29301 15401 29922 15006 29339 20101 21180 20514 20137 29389 20340 29720 20322 20539 10713 29587 14413 15603 29563 15023 29325 29510 20127 20304 15100 39304 29941 20305 29348 29929 20352 20349 29396 29930 15029 29338 20520 20145 15431 20508 20119 29379 29349 29744 20530 15613 20328 20110 29149 20346 29549 15050 15454 20337 13035 29764 15634 20343 20525 29134 29910 15628 29924 20330 29715 20138 29309 29355","2005-04-06","2005","2"
"hconres126-109","29127","29532 20121 20333 20122 14265 29126 14656","2005-04-06","2005","2"
"hconres127-109","29321","15005 29339 21180 15014 20340 29919 20147 29925 29587 20141 15410 15603 15023 29313 29559 29941 29337 14239 20107 29585 29544 14837 15431 20122 29776 29586 29149 15050 15619 13035 20303 29709 20321 14863 29703 29907 15072 20106 29715 20138 14869 29355","2005-04-12","2005","2"
"hconres128-109","29718","29316 15005 29775 15601 29717 29571 14813 29502 29396 20107 29338 29748 20508 20119 20332 29729 29903 20120 15621 29321 29709 20104 20321 14860 29519 29921 15446 14280 14869","2005-04-12","2005","2"
"hconres129-109","20134","29352 14072 15616 15112","2005-04-12","2005","2"
"hconres13-109","15072","NA","2005-01-04","2005","2"
"hconres130-109","29355","15245 29301 20351 29775 20539 20531 29756 29348 29930 15619 13035 20120 20104 29703 20310 29907 29921 15446 14280","2005-04-12","2005","2"
"hconres131-109","14813","29563 29126","2005-04-13","2005","2"
"hconres132-109","14290","20313 20100 20336 89767 29143 29349 20110 29910","2005-04-14","2005","2"
"hconres133-109","15064","29938 29940 29922 15005 29588 29389 20322 20326 29925 15410 29731 15603 2605 29313 14824 29943 20305 20129 29748 14837 14432 15033 29504 14435 20122 15613 29358 20341 14256 20537 15454 15619 29764 14656 29911 20104 15449 14451 29768 29705 20106 29309","2005-04-14","2005","2"
"hconres134-109","14837","15245 15014 15023 20305 14239 29748 20136 29778 29729 15614 14863","2005-04-19","2005","2"
"hconres135-109","20134","15616","2005-04-19","2005","2"
"hconres136-109","20134","15616","2005-04-19","2005","2"
"hconres137-109","29132","29938 15006 20137 29389 29774 29919 20147 10713 29925 29325 29380 29544 29778 29504 29379 20332 29729 15614 29373 29905 15454 15619 29311 29742 29321 29709 20104 29707 20310 20106 14280","2005-04-21","2005","2"
"hconres138-109","29773","29339 20340 10713 29925 15603 20519 29380 14432 15612 29379 29744 29729 29373 13035 29134 15072","2005-04-21","2005","2"
"hconres139-109","29744","14256","2005-04-27","2005","2"
"hconres14-109","29573","NA","2005-01-06","2005","2"
"hconres140-109","20120","29538 20101 29350 29124 29550 20324 29362 20127 29773 29941 29361 20107 20121 29733 20333 29365 20503 20332 39316 20331 29722 20117 29928 15634 20515 15449 20109 15446 29516 20138","2005-04-27","2005","2"
"hconres141-109","29907","15601 20141 15621 14863 14869","2005-04-28","2005","2"
"hconres142-109","29709","29938 29316 15005 20340 29774 29919 15408 20517 20533 29714 20108 29109 29144 15603 29313 29325 29756 15413 20319 20529 20305 29380 20103 15029 20112 20136 29908 15033 29379 29344 29358 29776 29586 29149 29903 15050 29741 29317 20343 20105 15064 29747 20310 15637 29730 15072 20330 29106 20106 29926 29309","2005-05-02","2005","2"
"hconres143-109","15601","15000 15005 15014 29766 29717 2605 14837 20332 20106 14869","2005-05-03","2005","2"
"hconres144-109","20325","15000 20123 20347 29356 20312 29922 29339 20355 15014 29323 29766 20144 29550 20517 20531 29925 29104 20100 20304 20336 20345 15100 20124 20314 29502 15420 29396 29143 20121 29375 20115 20333 14837 29352 20508 29379 29349 29744 20530 29729 15614 20346 29549 29377 20353 29725 29513 20114 15454 20117 29752 20528 20120 15634 29742 15112 20525 29759 29501 14860 29718 29910 29519 20131 29705 15072 29567 20504 29926 29509 29715 20138","2005-05-04","2005","2"
"hconres145-109","29588","29940 15007 15010 15014 20322 20326 29925 15410 29571 29941 20305 29348 29136 20103 20116 14430 29769 29778 20508 29349 20317 20122 20328 29149 15616 14265 14675 29147 29718 29703 29705 29906 29309","2005-05-05","2005","2"
"hconres146-109","29586","15245 29922 15601 20103 39305 29504 20122 20332 15613 29358 15621 29907 15072 20106 29715 29355","2005-05-05","2005","2"
"hconres147-109","14290","NA","2005-05-05","2005","2"
"hconres148-109","29549","20340 15092 29745 20521 29929 29546 20522 29746 20341 15438 29135 29383","2005-05-10","2005","2"
"hconres149-109","20138","15000 20123 20347 20312 15005 20137 20313 15014 29766 20144 20531 29925 20302 20141 29576 20526 20316 29104 15603 29745 20127 20524 20100 29510 20143 29773 15413 20336 20345 20319 39304 29318 20314 29337 29396 20107 20121 29375 20325 20115 14837 29341 29539 20503 29379 20317 20538 20530 20332 20522 15614 20358 20328 20110 20346 20353 29725 20117 29752 20528 15634 29742 15112 20104 29759 14860 29707 29718 14863 29519 20131 29921 29524 20330 20504 14280 29926 29516","2005-05-11","2005","2"
"hconres15-109","29573","NA","2005-01-06","2005","2"
"hconres150-109","20127","NA","2005-05-11","2005","2"
"hconres151-109","20129","15000 20338 29744","2005-05-12","2005","2"
"hconres152-109","20109","NA","2005-05-16","2005","2"
"hconres153-109","15634","15000 15005 15014 20356 29550 15601 29925 29336 20316 15603 2605 14824 20314 15419 14239 20107 29573 14837 29379 20532 20332 20353 29552 15454 20117 29742 20104 14863 29519 29715 20138","2005-05-16","2005","2"
"hconres154-109","15014","21180 20137 15023 14824 20304 29544 20332 29903 29759 29519 29907 20504 29509","2005-05-17","2005","2"
"hconres155-109","14863","15000 29922 15005 15408 29925 20141 15603 20345 29544 29375 29338 20115 14837 29379 20332 29729 29746 15614 29384 15621 15634 29742 29707 15444 20504 29715 14869","2005-05-17","2005","2"
"hconres156-109","20353","39302 15014 20356 20531 20139 15094 29104 20315 20319 20527 89767 20352 29143 20325 20532 20530 20522 29552 20337 29752 29759 15445 20510","2005-05-18","2005","2"
"hconres157-109","15449","15245 90327 15007 21180 29721 20322 20326 20517 10713 29587 20108 29109 29561 29563 29325 20527 20529 39304 20305 20349 29380 29937 15028 15029 20115 29748 14837 20145 15612 29379 20538 20122 20332 15613 29729 29373 29586 20110 29915 29149 14072 29377 15616 15616 29147 20104 20525 29134 29933 15444 29703 29519 29901 29906 20330 15630 14280 29715 29309 29355","2005-05-18","2005","2"
"hconres158-109","29309","15245 29938 29940 29588 29389 29720 20539 20147 10713 29717 15410 20323 29312 29313 29559 29325 20305 29337 29380 29923 20103 29573 39305 15029 29733 29748 29778 15431 29379 14435 20122 15613 29729 29344 29586 14256 20537 29149 29903 15616 15616 14265 29123 15050 15619 15438 13035 29346 29147 29911 29134 20105 14053 20310 29368 29730 29106","2005-05-18","2005","2"
"hconres159-109","20101","15006 20349","2005-05-19","2005","2"
