"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres1-117","29729","NA","2021","2"
"hconres10-117","29504","NA","2021","2"
"hconres100-117","21539","21307 21307 21708 21908 21106 21718 21307 21307 20527 21559 21985 21307 21162 21731 20704 20535 21985 21526 21753 21356 21307 21541 21337 21360","2022","2"
"hconres101-117","21700","21174 21718 21985 21757 21753","2022","2"
"hconres102-117","21975","21986 20757","2022","2"
"hconres103-117","21545","29339 21329 21728 21732 21370 20321 21102 21978 20342","2022","2"
"hconres104-117","20538","20322 20708 21172 31101 21529 21718 21934 20712 21368 29379 15616 15438 20504 21307","2022","2"
"hconres105-117","20517","20124 20926","2022","2"
"hconres106-117","21198","21701 29339 29588 21709 21711 20501 21504 20959 21718 21723 20305 21931 29573 21542 21732 21938 29379 29729 21342 15616 21951 21746 21538","2022","2"
"hconres107-117","21321","21902 21304 20758 20708 20517 20344 21915 20959 21529 21566 29762 15029 20538 21761 21985 15616 21951 29317 29911 21746 21747 20504","2022","2"
"hconres108-117","21545","21986 21707 21749 20733 21566 20122 21342 20537 21538 21118","2022","2"
"hconres109-117","29378","21706 21198 21986 20955 20733 31101 21715 29379 21342 29377 21985 21949 29911 20927","2022","2"
"hconres11-117","20723","NA","2021","2"
"hconres110-117","21749","21506 21304 21554 29588 21986 29550 21172 20748 20952 20501 21911 21504 21566 21718 20749 20521 21321 21986 21165 21723 21149 20907 21934 20107 21353 21140 21728 21937 20704 29778 21938 21940 21939 21507 29504 21942 21307 21986 20530 20122 29729 21342 21307 21761 21525 21987 21556 15616 21740 21315 21953 21370 21954 21741 21307 21744 21307 29911 20104 21326 29707 20542 21966 20762 21541 21306 20927 21978 21980 21314 21337 21981 21360 21983 20138 20756 21108","2022","2"
"hconres111-117","21544","NA","2022","2"
"hconres112-117","21328","21740","2022","2"
"hconres113-117","15410","21900 21703 21110 21554 29588 21706 21985 21986 21548 21707 21749 21308 20340 21709 20757 21749 20322 21906 21362 21749 21172 20748 20952 21309 21914 29717 29710 31101 21504 21529 29571 21566 21921 21754 20305 21931 21339 21303 21307 39305 20712 21985 15029 21728 21372 20136 20145 29778 21938 21939 21507 21313 20119 21942 21344 20538 20122 21736 29729 20702 21342 15433 21525 29903 21985 21536 15616 15454 21951 31103 20920 21954 15438 20954 21741 20329 29346 20724 29911 20104 39307 21964 29768 21746 21749 21972 21307 21747 20310 21312 20927 20934 21508 21978 20504 21538 20750 21763 21307","2022","2"
"hconres114-117","21321","21545 21915 21921 29573 29778 21307","2022","2"
"hconres115-117","21702","29701 21551 21132 29550 21908 21307 21174 21178 20527 21559 21927 21307 21514 21162 21167 21302 20704 21757 20926 21307 21307 21307 21526 21557 21148 20909 21974 21360","2022","2"
"hconres116-117","21368","21353 21953 21974","2022","2"
"hconres117-117","20756","29729 29317","2022","2"
"hconres118-117","15448","NA","2022","2"
"hconres119-117","15410","NA","2022","2"
"hconres12-117","21352","21545 29339 21706 21707 20757 20708 20733 20517 20748 15019 20501 31101 21504 21715 21566 29337 21931 20519 21339 29573 39305 20712 21985 21371 29908 21530 21732 29778 21313 21941 20119 29729 29776 21557 20537 21948 15616 31103 21955 29317 29346 29911 20321 21102 21964 21746 21307 21307 21366 20504 21307 21118","2021","2"
"hconres120-117","21307","21545 21900 21110 20757 21172 21566 20305 29573 20712 21728 29778 20122 29729 29903 15616 21950 29317 20321 20927 21508 21314","2022","2"
