"icpsr","name","birthyear","gender"
"10713","CONYERS, J. B.","1929","M"
"12036","OBEY, D. R.","1938","M"
"12041","CRANE, P. M.","1930","M"
"13035","RANGEL, C. B.","1930","M"
"13047","CHIESA, J. S.","1965","M"
"14045","REGULA, R. M.","1924","M"
"14053","STARK, F. H.","1931","M"
"14066","YOUNG, D. E.","1933","M"
"14072","MURTHA, J. P.","1932","M"
"14239","HYDE, H. J.","1924","M"
"14256","MILLER, G. G.","1945","M"
"14263","NOLAN, R. M.","1943","M"
"14265","OBERSTAR, J. L.","1934","M"
"14280","WAXMAN, H. A.","1939","M"
"14290","PAUL, R. E.","1935","M"
"14413","DICKS, N. D.","1940","M"
"14421","GEPHARDT, R. A.","1941","M"
"14430","KILDEE, D. E.","1929","M"
"14432","LEACH, J. A.","1942","M"
"14435","MARKEY, E. J.","1946","M"
"14448","RAHALL, N. J.","1949","M"
"14451","SKELTON, I. B.","1931","M"
"14605","BEREUTER, D. K.","1939","M"
"14626","FROST, J. L.","1942","M"
"14644","LEWIS, J. M.","1934","M"
"14647","LUNGREN, D. E.","1946","M"
"14649","MATSUI, R. T.","1941","M"
"14656","SABO, M. O.","1938","M"
"14657","SENSENBRENNER, F. J.","1943","M"
"14664","STENHOLM, C. W.","1938","M"
"14669","THOMAS, W. M.","1941","M"
"14675","PETRI, T. E.","1940","M"
"14679","TAUZIN, W. J.","1943","M"
"14813","DREIER, D. T.","1952","M"
"14824","FRANK, B. T.","1940","M"
"14828","HALL, R. M.","1923","M"
"14835","HUNTER, D. L.","1948","M"
"14837","LANTOS, T. V.","1928","M"
"14854","ROGERS, H. C.","1937","M"
"14860","SHAW, E. C.","1939","M"
"14863","SMITH, C. H.","1953","M"
"14869","WOLF, F. R.","1939","M"
"14873","HOYER, S. H.","1939","M"
"14875","OXLEY, M. G.","1944","M"
"15000","ACKERMAN, G. L.","1942","M"
"15005","BERMAN, H. L.","1941","M"
"15006","BILIRAKIS, M. F.","1930","M"
"15007","BOEHLERT, S. L.","1936","M"
"15010","BOUCHER, F. C.","1946","M"
